Time Started,Time Ended,Task,Minutes,Total Time(Hours)
Sat Jul 20 12:02:58 EDT 2019,Sat Jul 20 12:27:58 EDT 2019,Antaeus Coding,25,11.2666666666667
Sat Jul 20 12:49:14 EDT 2019,Sat Jul 20 13:14:14 EDT 2019,Antaeus Coding,25,
Sat Jul 20 15:32:16 EDT 2019,Sat Jul 20 15:57:16 EDT 2019,Antaeus Coding,25,
Sat Jul 20 17:14:54 EDT 2019,Sat Jul 20 17:39:54 EDT 2019,Antaeus Coding,25,
Sat Jul 20 20:32:26 EDT 2019,Sat Jul 20 20:57:26 EDT 2019,Antaeus Coding,25,
Sat Jul 20 23:10:03 EDT 2019,Sat Jul 20 23:35:03 EDT 2019,Antaeus Coding,25,
Sun Jul 21 15:46:04 EDT 2019,Sun Jul 21 16:11:04 EDT 2019,Antaeus Coding,25,
Sun Jul 21 16:26:00 EDT 2019,Sun Jul 21 16:56:00 EDT 2019,Antaeus Coding,30,
Sun Jul 21 18:18:16 EDT 2019,Sun Jul 21 18:48:16 EDT 2019,Antaeus Coding,30,
Sun Jul 21 20:58:15 EDT 2019,Sun Jul 21 21:33:15 EDT 2019,Antaeus Coding,35,
Mon Jul 22 12:38:40 EDT 2019,Mon Jul 22 13:08:40 EDT 2019,Antaeus Coding,30,
Mon Jul 22 16:16:17 EDT 2019,Mon Jul 22 16:46:17 EDT 2019,Antaeus Coding,30,
Mon Jul 22 18:59:21 EDT 2019,Mon Jul 22 19:29:21 EDT 2019,Antaeus Coding,30,
Mon Jul 22 21:13:05 EDT 2019,Mon Jul 22 21:43:05 EDT 2019,Antaeus Coding,30,
Tue Jul 23 13:02:47 EDT 2019,Tue Jul 23 13:33:48 EDT 2019,Antaeus Coding,31,
Tue Jul 23 14:05:26 EDT 2019,Tue Jul 23 14:40:52 EDT 2019,Antaeus Coding,25,
Tue Jul 23 15:34:47 EDT 2019,Tue Jul 23 16:04:47 EDT 2019,Antaeus Coding,30,
Tue Jul 23 16:24:35 EDT 2019,Tue Jul 23 16:54:35 EDT 2019,Antaeus Coding,30,
Tue Jul 23 19:22:45 EDT 2019,Tue Jul 23 19:52:45 EDT 2019,Antaeus Coding,30,
Tue Jul 23 20:40:46 EDT 2019,Tue Jul 23 21:10:46 EDT 2019,Antaeus Coding,30,
Tue Jul 23 23:01:17 EDT 2019,Tue Jul 23 23:31:17 EDT 2019,Antaeus Coding,30,
Wed Jul 24 01:08:19 EDT 2019,Wed Jul 24 01:38:19 EDT 2019,Antaeus Coding,30,
Wed Jul 24 11:49:24 EDT 2019,Wed Jul 24 12:19:24 EDT 2019,Antaeus Coding,30,
Wed Jul 24 13:01:51 EDT 2019,Wed Jul 24 13:21:51 EDT 2019,Antaeus Coding,20,
